link,price,street,property_type,neighborhood,city,floor,rooms,area_sqm,price_per_sqrm,full_address,Lat,Long,Distance_To_Hub_Meters
https://www.yad2.co.il/realestate/item/lczjo106?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=9,2380000.0,גדוד חרמש,דירה,פסגת זאב,ירושלים,2.0,4.0,85.0,28000.0,"גדוד חרמש, פסגת זאב, ירושלים",31.8301101,35.2417775,265.11589960287614
https://www.yad2.co.il/realestate/item/1hyt8in7?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=9,4690000.0,הבנאי,דירת גן,בית הכרם,ירושלים,0.0,5.0,115.0,40782.608695652176,"הבנאי, בית הכרם, ירושלים",31.776293,35.1920992,759.5749657408854
https://www.yad2.co.il/realestate/item/9jz8xorj?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=10,3690000.0,בית הכרם 22,דירה,בית הכרם,ירושלים,1.0,4.0,104.0,35480.769230769234,"בית הכרם 22, בית הכרם, ירושלים",31.7805646,35.1896883,417.56956035000206
https://www.yad2.co.il/realestate/item/ru251npd?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=10,4250000.0,יצחק רפאל 14,גג/ פנטהאוז,חומת שמואל,ירושלים,5.0,5.0,128.0,33203.125,"יצחק רפאל 14, חומת שמואל, ירושלים",31.7219408,35.2158453,2671.418120100166
https://www.yad2.co.il/realestate/item/2h36e1xb?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=10,6500000.0,חנה בבלי,כללי,פסגת זאב,ירושלים,0.0,7.0,250.0,26000.0,"חנה בבלי, פסגת זאב, ירושלים",31.8213852,35.2581683,1335.9944468478698
https://www.yad2.co.il/realestate/item/b2r629js?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=11,12500000.0,"עמק רפאים, המושבה הגרמנית",גג/ פנטהאוז,עמק רפאים,ירושלים,2.0,6.0,200.0,62500.0,"עמק רפאים, המושבה הגרמנית, עמק רפאים, ירושלים",31.763984,35.21988,4.989696476494074
https://www.yad2.co.il/realestate/item/cv3d07dv?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=11,2950000.0,ברל לוקר,דירה,פת,ירושלים,1.0,4.0,96.0,30729.166666666668,"ברל לוקר, פת, ירושלים",31.751267,35.202518,1672.1247369408939
https://www.yad2.co.il/realestate/item/03ji8o9c?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=11,2780000.0,דן פגיס,דירת גן,פסגת זאב,ירושלים,1.0,4.0,95.0,29263.157894736843,"דן פגיס, פסגת זאב, ירושלים",31.8206423,35.2546335,1097.9333659429728
https://www.yad2.co.il/realestate/item/3mnzl9mf?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=12,2600000.0,יפו 61,דירה,מרכז העיר,ירושלים,3.0,2.0,46.0,56521.739130434784,"יפו 61, מרכז העיר, ירושלים",31.7826337,35.218717,947.1921119214079
https://www.yad2.co.il/realestate/item/qlbgkrre?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=12,5350000.0,החלוץ 58,דירה,בית הכרם,ירושלים,3.0,4.0,115.0,46521.739130434784,"החלוץ 58, בית הכרם, ירושלים",31.7763292,35.1897783,636.7968020463647
https://www.yad2.co.il/realestate/item/yoi0j31k?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=14,2350000.0,משה רחמילביץ' 120,דירת גן,פסגת זאב,ירושלים,1.0,3.0,210.0,11190.47619047619,"משה רחמילביץ' 120, פסגת זאב, ירושלים",31.8214292,35.2547434,1054.2636305559047
https://www.yad2.co.il/realestate/item/yo8mcz7u?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=14,2000000.0,אדם 1,דירה,ארמון הנציב,ירושלים,1.0,3.0,67.0,29850.746268656716,"אדם 1, ארמון הנציב, ירושלים",31.7515158,35.2308073,787.3428460398558
https://www.yad2.co.il/realestate/item/smp82d79?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=14,4550000.0,מאיר פיינשטיין,בית פרטי/ קוטג',ארמון הנציב,ירושלים,0.0,6.0,242.0,18801.652892561982,"מאיר פיינשטיין, ארמון הנציב, ירושלים",31.74502,35.235019,913.7500794342153
https://www.yad2.co.il/realestate/item/bwll68or?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=14,2350000.0,אלמוג,דירה,גילה,ירושלים,1.0,4.0,88.0,26704.545454545456,"אלמוג, גילה, ירושלים",31.7281787,35.1898418,3170.360358067556
https://www.yad2.co.il/realestate/item/43ermwmx?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=15,3700000.0,"רמב""ן 59",דירה,רחביה,ירושלים,4.0,2.0,68.0,54411.76470588235,"רמב""ן 59, רחביה, ירושלים",31.7742209,35.2108189,1272.784204852473
https://www.yad2.co.il/realestate/item/6feltdez?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=15,2870000.0,אלעזר מנחם גלרנטר,דירת גן,חומת שמואל,ירושלים,4.0,4.0,94.0,30531.91489361702,"אלעזר מנחם גלרנטר, חומת שמואל, ירושלים",31.7194489,35.2207885,2465.198601031873
https://www.yad2.co.il/realestate/item/z9552xkj?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=16,3480000.0,מזל גדי 9,דירה,פסגת זאב,ירושלים,8.0,5.0,150.0,23200.0,"מזל גדי 9, פסגת זאב, ירושלים",31.8360488,35.233109,843.0050882921241
https://www.yad2.co.il/realestate/item/lxf309vp?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=16,4800000.0,אריה דולצ'ין 53,גג/ פנטהאוז,גבעת משואה,ירושלים,4.0,5.0,124.0,38709.67741935484,"אריה דולצ'ין 53, גבעת משואה, ירושלים",31.7484191,35.1680409,1535.3545894510994
https://www.yad2.co.il/realestate/item/zfjhh9la?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=16,4350000.0,משה קול,גג/ פנטהאוז,בית הכרם,ירושלים,3.0,4.0,112.0,38839.28571428572,"משה קול, בית הכרם, ירושלים",31.7745881,35.1875162,380.6064327720738
https://www.yad2.co.il/realestate/item/buyvipdl?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=17,5200000.0,יהושע ברוכי 5,בית פרטי/ קוטג',גילה,ירושלים,0.0,8.0,160.0,32500.0,"יהושע ברוכי 5, גילה, ירושלים",31.7378299,35.1770613,2165.754338251715
https://www.yad2.co.il/realestate/item/px34k7s3?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=17,2950000.0,חזקיהו המלך 42,דירה,קטמון הישנה,ירושלים,2.0,2.0,50.0,59000.0,"חזקיהו המלך 42, קטמון הישנה, ירושלים",31.761483,35.2094101,674.519511744391
https://www.yad2.co.il/realestate/item/c20xlzyk?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=17,6595000.0,חזקיהו המלך,דירת גן,קטמון הישנה,ירושלים,0.0,4.0,93.0,70913.97849462366,"חזקיהו המלך, קטמון הישנה, ירושלים",31.7611056,35.2076941,841.437672266488
https://www.yad2.co.il/realestate/item/vomk61ng?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=17,5280000.0,רמת שרת,דירה,רמת שרת,ירושלים,13.0,5.0,150.0,35200.0,"רמת שרת, רמת שרת, ירושלים",31.7372591,34.9862465,17635.770595491293
https://www.yad2.co.il/realestate/item/75c430mt?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=17,4200000.0,איש מצליח 1,גג/ פנטהאוז,חומת שמואל,ירושלים,5.0,6.0,220.0,19090.909090909092,"איש מצליח 1, חומת שמואל, ירושלים",31.7217288,35.226296,1897.2775139633939
https://www.yad2.co.il/realestate/item/og2wof3m?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=19,3950000.0,החלוץ 23,דירה,בית הכרם,ירושלים,2.0,5.0,96.0,41145.833333333336,"החלוץ 23, בית הכרם, ירושלים",31.7798777,35.1921201,447.97004613678774
https://www.yad2.co.il/realestate/item/9yitr7fr?opened-from=feed&component-type=main_feed&spot=standard&location=37&pagination=19,3270000.0,שושנה פוליאקוב,דירה,קרית משה,ירושלים,2.0,3.0,70.0,46714.28571428572,"שושנה פוליאקוב, קרית משה, ירושלים",31.7843497,35.1953462,345.18109871443176
https://www.yad2.co.il/realestate/item/vgh9h24j?opened-from=feed&component-type=main_feed&spot=standard&location=39&pagination=19,4200000.0,"רשב""ג",דירה,קטמונים,ירושלים,1.0,5.0,130.0,32307.69230769231,"רשב""ג, קטמונים, ירושלים",31.7552041,35.2086274,1010.738764115914
