_id,StationId,CityCode,CityName,MetropolinCode,MetropolinName,StationTypeCode,StationTypeName,StationOperatorTypeCode,StationOperatorTypeName,Lat,Long,Daily_Bus_Volume
14686,1001,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.765706,35.187861,0
14687,1002,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.77275,35.182963,0
14688,1003,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.787493,35.196891,143
14689,1004,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.786169,35.188565,0
14690,1005,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.785664,35.183985,0
14691,1006,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.734648,35.200891,0
14692,1007,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.745203,35.221176,645
14693,1008,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.752222,35.205407,0
14694,1009,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.755103,35.207079,0
14695,1010,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.752852,35.222614,0
14696,1011,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.750989,35.222818,0
14697,1012,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.755332,35.203766,0
14698,1013,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.757755,35.206721,68
14699,1014,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.756547,35.204038,43
14700,1015,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.75696,35.205793,0
14701,1016,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.756595,35.203937,0
14702,1017,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.758918,35.208625,44
14703,1018,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.756892,35.209222,0
14704,1019,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.754099,35.206652,0
14705,102,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.800259,35.208236,0
14706,1020,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.755764,35.207606,0
14707,1021,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.759196,35.211099,0
14708,1022,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.759015,35.21459,0
